X,Y,name,qs_id,gn_id,woe_id,gn_pop,placetype,gn_fcode,name_adm1,gn_country,woe_adm0,name_adm0,photos,photos_all,photos_1k,photos_9k,photos_sr,photos_9r,pop_sr,aaroncc,actionplan,_placetype,_newplan,wof_id
165.82764,-21.71079,La Foa,572787,2140466,,2947,,PPLA,,NC,,,,,,,0,0,4,NC,3,locality,import,
179.467,-10.788,Niulakita Island,573330,2194171,,35,,ISL,,TV,,,,,,,0,0,1,TV,3,locality_funky,import,
179.51667,-16.8,Mbakambaka Island,573343,2203836,,2,,ISL,,FJ,,,,,,,0,0,1,FJ,3,locality_funky,import,
16.13904,29.1614,Waddān,573370,2209055,,27590,,PPL,,LY,,,,,,,0,0,7,LY,3,locality,import,
12.57159,32.75668,Şurmān,573371,2210560,,25235,,PPL,,LY,,,,,,,0,0,7,LY,3,locality,import,
12.48845,32.79335,Şabrātah,573372,2212771,,102038,,PPL,,LY,,,,,,,0,0,9,LY,3,locality,import,
-16.719,14.10877,Keur Babakar Toumbou,573459,2250501,,900,,PPL,,SN,,,,,,,0,0,2,SN,3,locality,import,
-10.81722,6.87083,Tubmanburg,573473,2273435,,3155,,PPLA,,LR,,,,,,,0,0,4,LR,3,locality,import,
-15.03333,13.53333,Sare Louba,573862,2412071,,204,,PPL,,GM,,,,,,,0,0,2,GM,3,locality,import,
-0.5,13.25,Province du Namentenga,573777,2357611,,270909,,ADM2,,BF,,,,,,,0,0,10,BF,3,county,import,
27.4125,53.7865,Priluki,266741,623098,834531,0,Town,PPL,Minskaya Voblasts',BY,23424765,Belarus,45,45,9,1,2,2,0,BY,2,locality,import,
0.012,13.964,Province du Séno,573769,2355737,,232425,,ADM2,,BF,,,,,,,0,0,10,BF,3,county,import,
-1.08333,13.25,Province du Sanmatenga,573770,2355914,,482013,,ADM2,,BF,,,,,,,0,0,10,BF,3,county,import,
-2.66667,12.16667,Province du Sanguié,573771,2355930,,270924,,ADM2,,BF,,,,,,,0,0,10,BF,3,county,import,
-3.41667,10.25,Province du Poni,573772,2356386,,221200,,ADM2,,BF,,,,,,,0,0,10,BF,3,county,import,
-0.33333,14.66667,Province de l’ Oudalan,573774,2356982,,146017,,ADM2,,BF,,,,,,,0,0,9,BF,3,county,import,
-1.33333,12.66667,Province d’ Oubritenga,573775,2356983,,224640,,ADM2,,BF,,,,,,,0,0,10,BF,3,county,import,
-1.25,11.25,Nahouri Province,573776,2357548,,145749,,ADM2,,BF,,,,,,,0,0,9,BF,3,county,import,
-3.41667,12.25,Province du Mouhoun,573778,2357858,,273309,,ADM2,,BF,,,,,,,0,0,10,BF,3,county,import,
-0.3,12.2,Kouritenga Province,573779,2358700,,280024,,ADM2,,BF,,,,,,,0,0,10,BF,3,county,import,
-3.83333,12.91667,Province de la Kossi,573780,2359027,,249923,,ADM2,,BF,,,,,,,0,0,10,BF,3,county,import,
-4.41667,10.33333,Province de la Comoé,573781,2359209,,261738,,ADM2,,BF,,,,,,,0,0,10,BF,3,county,import,
-1.88556,12.18972,Kokologo,573782,2359317,,25958,,PPL,,BF,,,,,,,0,0,7,BF,3,locality,import,
-5.0,11.41667,Province du Kénédougou,573783,2359569,,221733,,ADM2,,BF,,,,,,,0,0,10,BF,3,county,import,
-15.7,13.55,Yallal,573800,2411667,,512,,PPL,,GM,,,,,,,0,0,2,GM,3,locality,import,
-15.81667,13.38333,Wurokang,573801,2411668,,532,,PPL,,GM,,,,,,,0,0,2,GM,3,locality,import,
-14.08333,13.5,Wuli,573802,2411671,,37033,,ADM2,,GM,,,,,,,0,0,7,GM,3,county,import,
-15.23333,13.6,Wellingara Momodou,573803,2411687,,260,,PPL,,GM,,,,,,,0,0,2,GM,3,locality,import,
-15.31667,13.58333,Wellingara Ello,573804,2411690,,221,,PPL,,GM,,,,,,,0,0,2,GM,3,locality,import,
-15.15,13.73333,Wellingara Bubacarr Bah,573805,2411691,,283,,PPL,,GM,,,,,,,0,0,2,GM,3,locality,import,
-14.88333,13.45,Wellingara Adama,573806,2411694,,219,,PPL,,GM,,,,,,,0,0,2,GM,3,locality,import,
-15.21667,13.61667,Wellingara,573807,2411696,,270,,PPL,,GM,,,,,,,0,0,2,GM,3,locality,import,
-14.01667,13.36667,Walliba Kunda,573808,2411707,,646,,PPL,,GM,,,,,,,0,0,2,GM,3,locality,import,
-15.68333,13.58333,Walalan,573809,2411708,,296,,PPL,,GM,,,,,,,0,0,2,GM,3,locality,import,
-15.2,13.75,Upper Saloum,573810,2411710,,16539,,ADM2,,GM,,,,,,,0,0,6,GM,3,county,import,
-16.33333,13.4,Upper Niumi District,573811,2411712,,25542,,ADM2,,GM,,,,,,,0,0,7,GM,3,county,import,
-15.66667,13.55,Upper Baddibu,573812,2411714,,55133,,ADM2,,GM,,,,,,,0,0,8,GM,3,county,import,
-14.25,13.43333,Tuba-Wuli,573813,2411730,,697,,PPL,,GM,,,,,,,0,0,2,GM,3,locality,import,
-13.88333,13.41667,Tubanding,573814,2411737,,120,,PPL,,GM,,,,,,,0,0,1,GM,3,locality,import,
-14.61667,13.63333,Timpa,573821,2411771,,57,,PPL,,GM,,,,,,,0,0,1,GM,3,locality,import,
-14.46667,13.38333,Timbintu,573822,2411773,,62,,PPL,,GM,,,,,,,0,0,1,GM,3,locality,import,
-15.08333,13.78333,Tento Malick Bah,573823,2411778,,87,,PPL,,GM,,,,,,,0,0,1,GM,3,locality,import,
-14.01667,13.31667,Tenkoli,573824,2411780,,27,,PPL,,GM,,,,,,,0,0,1,GM,3,locality,import,
-15.81667,13.43333,Tendaba,573825,2411785,,420,,PPL,,GM,,,,,,,0,0,2,GM,3,locality,import,
-14.5,13.33333,Temanto Demba,573826,2411789,,45,,PPL,,GM,,,,,,,0,0,1,GM,3,locality,import,
-13.91667,13.38333,Temanto,573827,2411791,,158,,PPL,,GM,,,,,,,0,0,1,GM,3,locality,import,
-15.66667,13.53333,Tankanto,573831,2411801,,36,,PPL,,GM,,,,,,,0,0,1,GM,3,locality,import,
-14.55,13.51667,Tandi Wollof,573832,2411807,,456,,PPL,,GM,,,,,,,0,0,2,GM,3,locality,import,
-14.61667,13.36667,Tandi,573833,2411809,,237,,PPL,,GM,,,,,,,0,0,2,GM,3,locality,import,
-16.17444,13.50528,Tambana,573834,2411816,,773,,PPL,,GM,,,,,,,0,0,2,GM,3,locality,import,
-15.51667,13.53333,Tamba Koto,573835,2411819,,276,,PPL,,GM,,,,,,,0,0,2,GM,3,locality,import,
-16.17611,13.57861,Tallen,573837,2411824,,308,,PPL,,GM,,,,,,,0,0,2,GM,3,locality,import,
-15.55,13.56667,Sukoto Fula,573838,2411884,,83,,PPL,,GM,,,,,,,0,0,1,GM,3,locality,import,
-15.1,13.65,Sotokoi,573839,2411894,,165,,PPL,,GM,,,,,,,0,0,1,GM,3,locality,import,
-14.46667,13.35,Sinchu Sara,573840,2411925,,55,,PPL,,GM,,,,,,,0,0,1,GM,3,locality,import,
-14.9,13.7,Sinchu Jenun Touray,573841,2411934,,91,,PPL,,GM,,,,,,,0,0,1,GM,3,locality,import,
-15.03333,13.61667,Sinchu Gundo,573842,2411936,,378,,PPL,,GM,,,,,,,0,0,2,GM,3,locality,import,
-14.83333,13.5,Sinchu Bora,573844,2411945,,250,,PPL,,GM,,,,,,,0,0,2,GM,3,locality,import,
-15.06667,13.75,Sinchu Baya,573845,2411947,,262,,PPL,,GM,,,,,,,0,0,2,GM,3,locality,import,
-14.91667,13.53333,Sinchu Bamba,573846,2411948,,297,,PPL,,GM,,,,,,,0,0,2,GM,3,locality,import,
-13.88333,13.4,Sinchang,573847,2411955,,125,,PPL,,GM,,,,,,,0,0,1,GM,3,locality,import,
-15.33333,13.75,Simbara Tukulor,573848,2411956,,20,,PPL,,GM,,,,,,,0,0,1,GM,3,locality,import,
-14.43333,13.38333,Sifula,573849,2411975,,121,,PPL,,GM,,,,,,,0,0,1,GM,3,locality,import,
-14.25,13.23333,Sare Musa,573858,2412051,,69,,PPL,,GM,,,,,,,0,0,1,GM,3,locality,import,
-14.51667,13.33333,Sare Mansong,573859,2412062,,31,,PPL,,GM,,,,,,,0,0,1,GM,3,locality,import,
-15.01667,13.55,Sare Malang,573860,2412065,,184,,PPL,,GM,,,,,,,0,0,1,GM,3,locality,import,
-13.8,13.43333,Sare Mala,573861,2412066,,49,,PPL,,GM,,,,,,,0,0,1,GM,3,locality,import,
-14.73333,13.4,N’Gayen,573913,2412438,,330,,PPL,,GM,,,,,,,0,0,2,GM,3,locality,import,
-15.88333,13.25,Nema Kunku,573914,2412452,,815,,PPL,,GM,,,,,,,0,0,2,GM,3,locality,import,
-15.95,13.56667,Nduren,573916,2412460,,142,,PPL,,GM,,,,,,,0,0,1,GM,3,locality,import,
-15.05,13.76667,Ndrammeh,573917,2412463,,24,,PPL,,GM,,,,,,,0,0,1,GM,3,locality,import,
