,Unnamed: 0,X,Y,name,qs_id,gn_id,woe_id,gn_pop,placetype,gn_fcode,name_adm1,gn_country,woe_adm0,name_adm0,photos,photos_all,photos_1k,photos_9k,photos_sr,photos_9r,pop_sr,aaroncc,actionplan,_placetype,_newplan,wof_id,_joinme,_joinme2,wk:page,wordcount
82,60082,140.5,35.88333,Sawara,572202,2111173.0,,47199.0,,PPL,,JP,,,,,,,0,0,7,JP,10.0,locality,import,,,,Sawara,214
83,60083,141.85861,43.32472,Bibai,572735,2130534.0,,29028.0,,PPL,,JP,,,,,,,0,0,7,JP,10.0,locality,import,,,,"Bibai, Hokkaido",192
84,60084,135.96667,35.01667,Kusatsu,1243526,1858067.0,,127680.0,,PPL,,JP,,,,,,,0,0,9,JP,10.0,locality,import,,,,Kusatsu,41
85,60085,130.4215,33.587856,１丁目,1353171,,28578474.0,,Suburb,,福岡県,,23424856.0,日本,96.0,96.0,19.0,1.0,3,3,0,JP,9.0,neighbourhood,import,,,,Isezakichō,360
86,60086,139.53124,35.40327,Totsuka-ku,1027831,1849896.0,,0.0,,ADM3,,JP,,,,,,,0,0,0,JP,10.0,localadmin,import,,,,"Totsuka-ku, Yokohama",700
87,60087,139.46866,35.79964,Tokorozawa-shi,1027833,1850180.0,,339435.0,,ADM2,,JP,,,,,,,0,0,10,JP,10.0,county,import,,tokorozawa-shi_county_JP,tokorozawa-shi_county_JP_139_36,"Tokorozawa, Saitama",1217
88,60088,133.39115,33.47734,Tosa-shi,1027846,1849928.0,,0.0,,ADM2,,JP,,,,,,,0,0,0,JP,10.0,county,import,,tosa-shi_county_JP,tosa-shi_county_JP_133_33,"Tosa, Kōchi",164
89,60089,130.80896,33.84979,Yahatahigashi-ku,1041290,7407409.0,,0.0,,ADM3,,JP,,,,,,,0,0,0,JP,10.0,localadmin,import,,,,"Yahatahigashi-ku, Kitakyūshū",137
90,60090,139.07016,35.30991,Minamiashigara-shi,1048250,7470890.0,,0.0,,ADM2,,JP,,,,,,,0,0,0,JP,10.0,county,import,,minamiashigara-shi_county_JP,minamiashigara-shi_county_JP_139_35,"Minamiashigara, Kanagawa",333
91,60091,136.46667,34.66667,Hisai,566303,1862389.0,,41642.0,,PPL,,JP,,,,,,,0,0,7,JP,10.0,locality,import,,,,"Hisai, Mie",137
92,60092,132.70139,33.75139,Iyo,569119,1926006.0,,30760.0,,PPL,,JP,,,,,,,0,0,7,JP,10.0,locality,import,,,,IYO,37
93,60093,140.48333,39.45,Ōmagari,572264,2111435.0,,38805.0,,PPL,,JP,,,,,,,0,0,7,JP,10.0,locality,import,,,,"Ōmagari, Akita",104
94,60094,140.1,36.26667,Makabe,572315,2112019.0,,19293.0,,PPL,,JP,,,,,,,0,0,6,JP,10.0,locality,import,,,,Togi Makabe,7089
95,60095,140.07605,37.658275,北塩原村,1191651,,24713069.0,,Town,,福島県,,23424856.0,日本,669.0,669.0,136.0,3.0,8,5,0,JP,9.0,locality,import,,,,"Kitashiobara, Fukushima",305
96,60096,133.929519,34.665,１丁目,1191691,,90036172.0,,Suburb,,岡山県,,23424856.0,日本,145.0,145.0,29.0,1.0,3,3,0,JP,9.0,neighbourhood,import,,,,Isezakichō,360
98,60098,136.219482,35.187277,愛知郡,258156,,24857628.0,,County,,滋賀県,,23424856.0,日本,5.0,64.0,1.0,1.0,1,2,0,JP,9.0,county,import,,愛知郡_county_JP,愛知郡_county_JP_136_35,"Echi District, Shiga",147
99,60099,133.46269,33.75857,土佐郡,260369,1849939.0,24857256.0,0.0,County,ADM2,高知県,JP,23424856.0,日本,2.0,64.0,1.0,1.0,1,2,0,JP,10.0,county,import,,土佐郡_county_JP,土佐郡_county_JP_133_34,"Tosa District, Kōchi",115
