,Unnamed: 0,bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wk:page,wof_country,wordcount
3429,9086,"0.0,0.0,0.0,0.0",uuuu,85633805.0,,aeea486b60f2184d8649bb751f26ada1,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102543555.0,uuuu,,,1452296745.0,0.0,0.0,0.0,Konotop Airport,85688787.0,102/543/555/102543555.geojson,campus,85688787.0,missing,,,Konotop (air base),,65.0
3432,9089,"0.0,0.0,0.0,0.0",uuuu,85633805.0,,7c4c3a1b27e0e48db9e9711fe8534062,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102543563.0,uuuu,,,1452296743.0,0.0,0.0,0.0,Lenino Airport,85688855.0,102/543/563/102543563.geojson,campus,85688855.0,missing,,,Lenino Air Base,,55.0
3433,9090,"0.0,0.0,0.0,0.0",uuuu,85633805.0,,5c2fa64aac4ceaa2348b075982cf1fea,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102543565.0,uuuu,,,1452296745.0,0.0,0.0,0.0,Pereshchepino Airport,85688873.0,102/543/565/102543565.geojson,campus,85688873.0,missing,,,State Highways (Ukraine),,875.0
3438,9095,"0.0,0.0,0.0,0.0",uuuu,85633805.0,,fc40a6e7871fbacafc7e31f68930d284,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102543575.0,uuuu,,,1452296743.0,0.0,0.0,0.0,Novoukrainka Airport,85688881.0,102/543/575/102543575.geojson,campus,85688881.0,missing,,,Aktobe,,2587.0
3442,9099,"0.0,0.0,0.0,0.0",uuuu,85633805.0,,7de1dbbefd20a1ba575aa4786394bb90,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102543585.0,uuuu,,,1452296744.0,0.0,0.0,0.0,Primorskoye Airport,85688851.0,102/543/585/102543585.geojson,campus,85688851.0,missing,,,"Artyom, Russia",,917.0
3443,9100,"0.0,0.0,0.0,0.0",uuuu,85633805.0,,d705879a0c0f354bb5b5538667b72589,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102543587.0,uuuu,,,1452296743.0,0.0,0.0,0.0,Piryatin Airport,85688859.0,102/543/587/102543587.geojson,campus,85688859.0,missing,,,Pyriatyn Airport,,279.0
3445,9102,"0.0,0.0,0.0,0.0",uuuu,85633805.0,,099b763ff1c6f647d4152ceab278ded2,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102543591.0,uuuu,,,1452296744.0,0.0,0.0,0.0,Kremenchug East Airport,85688859.0,102/543/591/102543591.geojson,campus,85688859.0,missing,,,Russian Airborne Troops,,5752.0
3448,9105,"0.0,0.0,0.0,0.0",uuuu,85633805.0,,f5ef8e3be2a74241cf8ac7ab58104f32,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102543599.0,uuuu,,,1452296744.0,0.0,0.0,0.0,Novoarkhangelsk Airport,85688881.0,102/543/599/102543599.geojson,campus,85688881.0,missing,,,"Sitka, Alaska",,4686.0
3449,9106,"0.0,0.0,0.0,0.0",uuuu,85633805.0,,7997b821879afa88bdfe5fa043a84c67,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102543601.0,uuuu,,,1452296744.0,0.0,0.0,0.0,Lozovatka Airport,85688797.0,102/543/601/102543601.geojson,campus,85688797.0,missing,,,Kryvyi Rih International Airport,,229.0
3452,9109,"0.0,0.0,0.0,0.0",uuuu,85633805.0,,2bd1c2844536405339e63ee663e1d8ca,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102543607.0,uuuu,,,1452296743.0,0.0,0.0,0.0,Ovruch Southwest Airport,85688791.0,102/543/607/102543607.geojson,campus,85688791.0,missing,,,Ovruch (air base),,58.0
3453,9110,"0.0,0.0,0.0,0.0",uuuu,85633805.0,,a3bb15c088840c489f03f4c7f820079a,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102543609.0,uuuu,,,1452296743.0,0.0,0.0,0.0,Kovalevka North Airport,85688801.0,102/543/609/102543609.geojson,campus,85688801.0,missing,,,Southern Military District,,879.0
3454,9111,"0.0,0.0,0.0,0.0",uuuu,85633805.0,,776df2b2fa80aee0a4cd14750f98985e,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102543611.0,uuuu,,,1452296745.0,0.0,0.0,0.0,Mikhaylovka Northwest Airport,85688863.0,102/543/611/102543611.geojson,campus,85688863.0,missing,,,Aktobe,,2587.0
3458,9115,"0.0,0.0,0.0,0.0",uuuu,85633805.0,,b4583dd43cc1f365b38fd6152b7514c0,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102543621.0,uuuu,,,1452296745.0,0.0,0.0,0.0,Kopanka Airport,85688823.0,102/543/621/102543621.geojson,campus,85688823.0,missing,,,Trnava,,2472.0
3461,9118,"0.0,0.0,0.0,0.0",uuuu,85633287.0,,c6d07a5868d55c91029c0cad8f7ec137,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102543627.0,uuuu,,,1452296745.0,0.0,0.0,0.0,Limanskoye East Airport,85688877.0,102/543/627/102543627.geojson,campus,85688877.0,missing,,,Ukrainian Air Force,,4878.0
