,Unnamed: 0,fct:id,nyt:id,wof:id,dbp:id,iata:code,faa:code,gn:id,wd:id,fips:code,fb:id,mzb:id,icao:code,wk:page,gp:id,loc:id,qs:id,oa:id,tgn:id,link,wk_page_id
55049,143865,08c8e812-8f76-11e1-848f-cfd5bf3ef515,,85938909.0,,,,4245681.0,Q575583,1752623.0,,,,"Newman, Illinois",2459516.0,,152339.0,,,,
55050,143867,08ca120a-8f76-11e1-848f-cfd5bf3ef515,,85939607.0,,,,4246910.0,Q2315814,1759520.0,,,,"Phillipstown, Illinois",2471333.0,,1355039.0,,,,
55051,143868,08be848a-8f76-11e1-848f-cfd5bf3ef515,,85941103.0,,,,4883238.0,Q2671569,1701242.0,,,,"Alvin, Illinois",2354054.0,,376961.0,,,,
55052,143869,08c1e508-8f76-11e1-848f-cfd5bf3ef515,,85938513.0,,,,4889402.0,Q1918026,1718498.0,,,,"Danforth, Illinois",2389217.0,,12604.0,,,,
55053,143870,08ce3948-8f76-11e1-848f-cfd5bf3ef515,,85939707.0,,,,4915977.0,Q2260662,1780125.0,,,,"West Dundee, Illinois",2516922.0,,466984.0,,,,
55054,143871,08c610e2-8f76-11e1-848f-cfd5bf3ef515,,85938727.0,,,,4898734.0,Q575283,1740416.0,,,,"Knoxville, Illinois",2433660.0,,1050397.0,,,,
55055,143873,08cca538-8f76-11e1-848f-cfd5bf3ef515,,85941003.0,,,,4250661.0,Q2633513,1772650.0,,,,"Stewardson, Illinois",2499791.0,,152370.0,,,,
55056,143874,,,85940103.0,,,,8299582.0,Q6549305,1743510.0,,,,"Limestone, Illinois",,,1155755.0,,,,
55057,143875,,,85941203.0,,,,4889530.0,Q5243473,1718771.0,,,,"Dayton, LaSalle County, Illinois",2389857.0,,901405.0,,,,
55058,143876,08cca772-8f76-11e1-848f-cfd5bf3ef515,,85941303.0,,,,4265353.0,Q2835375,1873178.0,,,,"Stilesville, Indiana",2499905.0,,152489.0,,,,
55059,143877,08c7a9b6-8f76-11e1-848f-cfd5bf3ef515,,85940503.0,,,,4901752.0,Q2463766,1745850.0,,,,"McNabb, Illinois",2448319.0,,1025171.0,,,,
55060,143878,08cc9cbe-8f76-11e1-848f-cfd5bf3ef515,,85939417.0,,,,4250627.0,Q2505814,1772468.0,,,,"Steeleville, Illinois",2499451.0,,466232.0,,,,
55061,143879,08c042c0-8f76-11e1-848f-cfd5bf3ef515,,85941611.0,,,,4918558.0,Q2328757,1809316.0,,,,"Burnettsville, Indiana",2372141.0,,449664.0,,,,
55062,143880,,,85937649.0,,,,5855073.0,Q3317200,1507485.0,,,,"Ewa Villages, Hawaii",,,160125.0,,,,
55063,143881,,,101806765.0,,,,6552125.0,Q558176,,,,,Oering,20164461.0,,996562.0,,,,
55064,143882,01f142dc-8f76-11e1-848f-cfd5bf3ef515,,101806991.0,,,,2751523.0,Q1020444,,,,,Loenen,731361.0,,1052918.0,,7264779.0,,
55065,143884,08c82544-8f76-11e1-848f-cfd5bf3ef515,,85944625.0,,,,4867693.0,Q1926214,1953265.0,,,,"Monmouth, Iowa",2452950.0,,246828.0,,,,
55066,143885,,,101806999.0,,,,2756619.0,Q1258901,,,,,Driebergen-Rijsenburg,,,1037770.0,,1047737.0,,
55067,143886,,,85937665.0,,,,5849297.0,Q1026771,1536500.0,,,,"Kihei, Hawaii",2432214.0,,160106.0,,,,
55068,143888,,,85937641.0,,,,5855741.0,Q1849015,1512400.0,,,,"Hauʻula, Hawaii",2418719.0,,15469.0,,,,
55069,143890,08c907ac-8f76-11e1-848f-cfd5bf3ef515,,85938329.0,,,,4903830.0,Q512219,1753455.0,,,,"North Barrington, Illinois",2460622.0,,155808.0,,,,
