wof:id,status
101800023,NO
101800111,NO
101800477,NO
101800487,NO
101800567,NO
101800639,NO
101800771,OK
101801299,NO
101801393,NO
101801469,OK
101801561,NO
101801825,NO
101801827,NO
101801849,NO
101801855,NO
101801869,NO
101801947,NO
101802077,NO
101802115,NO
101802179,NO
101802387,NO
101802427,NO
101802533,NO
101802557,NO
101802707,NO
101803011,NO
101803017,NO
101803157,NO
101803753,NO
101803817,NO
101804187,NO
101804439,NO
101804495,NO
101804727,NO
101805487,NO
101805531,NO
101805607,NO
101805619,NO
101805637,NO
101805663,NO
101805727,NO
101806079,NO
101806703,NO
101806945,NO
101807085,NO
101807151,NO
101807213,NO
101807809,NO
101808073,NO
101808101,NO
101808147,NO
101808313,NO
101808343,NO
101808723,NO
101808811,NO
101808823,NO
101809241,NO
101809275,NO
101809279,NO
101809363,NO
101809391,NO
101809421,NO
101809479,NO
101809585,NO
101809711,NO
101809765,NO
101810369,NO
101810413,NO
101810463,NO
101810533,NO
101810543,NO
101810681,NO
101810715,NO
101810733,NO
101810749,NO
101811139,NO
101811493,NO
101811503,NO
101811559,NO
101811651,NO
101811671,NO
101811953,NO
101812655,OK
101813359,OK
101813493,NO
101813763,NO
101813903,NO
101813979,OK
101814009,NO
101814169,NO
101814277,NO
101814479,NO
101814487,NO
101814495,NO
101814987,NO
101815275,NO
101815289,NO
101815365,NO
101815427,NO
101815571,NO
101816287,NO
101816351,NO
101816355,NO
101816383,NO
101816389,NO
101816431,NO
101817281,NO
101817403,NO
101817451,NO
101817509,NO
101818005,NO
101818241,NO
101818255,NO
101818351,NO
101818363,OK
101818473,OK
101819729,OK
101819973,OK
101820947,OK
101821039,OK
101821061,OK
101821099,OK
101821903,OK
101822315,OK
101822317,OK
101822339,OK
101823059,OK
101823393,OK
101824167,OK
101824503,OK
101824529,OK
101825277,OK
101825317,NO
101825479,OK
101825509,OK
101825527,OK
101825571,OK
101825941,OK
101826595,OK
101826827,OK
101827445,OK
101827671,OK
101827815,OK
101828609,NO
101828689,OK
101828757,NO
101828765,NO
101828843,NO
101829179,NO
101829685,OK
101829779,OK
101829823,OK
101829863,NO
101829959,OK
101830053,OK
101830061,NO
101830323,NO
101830337,NO
101831197,OK
101831295,OK
101831305,NO
101831313,NO
101831333,NO
101831367,NO
101831375,NO
101831383,NO
101831561,NO
101831577,NO
101831987,NO
101832019,NO
101832569,NO
101832769,NO
101832771,NO
101832775,NO
101832789,NO
101832815,NO
101832839,NO
101832843,NO
101832855,NO
101832875,NO
101832891,NO
101832893,NO
101832909,NO
101832923,NO
101832931,NO
101832959,NO
101832987,NO
101833129,NO
101833159,NO
101834169,NO
101834171,NO
101834233,OK
101834345,OK
101834853,OK
101834971,OK
101835275,NO
101836279,NO
101836879,NO
101836895,NO
101836913,NO
101836947,NO
101836955,NO
101837013,NO
101837071,NO
101837099,NO
101837139,NO
101837147,NO
101837159,NO
101837165,NO
101837201,NO
101837207,NO
101837209,NO
101837229,NO
101837533,NO
101837689,OK
101837699,OK
101837849,OK
101837967,NO
101837995,NO
101838001,NO
101838255,OK
101838323,OK
101838493,NO
101838509,NO
101838603,NO
101838605,NO
101838633,NO
101838667,NO
101838821,NO
101838831,NO
101838833,NO
101838895,NO
101838921,OK
101838923,OK
101838929,NO
101838949,OK
101838993,NO
101839001,NO
101839019,NO
101839021,NO
101839055,NO
101839143,NO
101839307,NO
101839327,OK
101839359,OK
101839373,OK
101839397,OK
101839593,NO
101839695,NO
101839699,NO
101839759,NO
101839939,OK
101840099,NO
101840333,NO
101840447,NO
101840861,NO
101840879,NO
101840963,NO
101841005,NO
101841007,NO
101841025,NO
101841139,NO
101841235,NO
101841347,NO
101841447,NO
101841449,NO
101842043,OK
101842069,NO
101842229,NO
101842589,NO
101842615,OK
101842707,OK
101842943,OK
101842951,OK
101842985,NO
101844237,NO
101844469,NO
101844579,NO
101845099,NO
101845675,NO
101845725,NO
101845765,NO
101845793,NO
101845821,NO
101845875,NO
101845887,NO
101845889,NO
101845963,NO
101846017,NO
101846031,NO
101846099,NO
101846123,NO
101846181,NO
101846299,NO
101846581,NO
101846753,NO
101846837,NO
101846863,NO
101846931,NO
101846937,NO
101846941,NO
101846947,NO
101846963,NO
101847029,NO
101847045,NO
101847101,NO
101847107,NO
101847125,NO
101847129,NO
101847139,NO
101847147,NO
101847151,NO
101847495,NO
101847569,NO
101847597,NO
101847603,NO
101847655,NO
101847725,OK
101847727,OK
101847729,OK
101847731,OK
101847797,NO
101849905,NO
101849925,NO
101850001,NO
101850027,NO
101850263,NO
101850863,NO
101851331,NO
101851455,NO
101851463,NO
101851465,NO
101851541,NO
101851563,NO
101851567,NO
101851615,NO
101851643,OK
101851647,NO
101851675,NO
101851845,NO
101851943,NO
101851945,NO
101852023,NO
101852069,NO
101852117,NO
101852161,NO
101852175,NO
101852223,NO
101852399,NO
101852563,NO
101852715,NO
101853141,NO
101853195,NO
101853381,NO
