,wk_page_id,wk_name,wiki_id
15,5946819,Capriglia Irpina,Q55015
16,6770884,Comiziano,Q72069
17,5946834,Castel Baronia,Q55023
18,2902018,Ariano Irpino,Q55000
19,5947790,Sant'Angelo a Scala,Q55100
20,5967151,Montemilone,Q52610
21,5947674,Montefredane,Q55059
22,983185,Melpignano,Q52159
23,6275005,Cursi,Q52136
24,886785,Monteverde,Q3046917
25,5488149,Viggiano,Q52695
26,2483533,Savignano Irpino,Q55109
27,2223754,Genzano di Lucania,Q52574
28,2117753,Melfi,Q30565
29,18577816,Casalini,Q1046770
30,6272129,Bagnolo del Salento,Q52116
31,6125918,Monte San Giacomo,Q81060
32,5947808,Scampitella,Q55110
33,5947767,San Sossio Baronia,Q55097
34,5947641,Manocalzati,Q55050
35,5962157,Montalbano Jonico,Q52321
36,5964147,Banzi,Q52527
37,5947763,San Potito Ultra,Q55096
38,1190944,Atella,Q657102
39,5946788,Andretta,Q54997
40,5946823,Carife,Q55016
41,6292844,Santa Domenica Talao,Q53989
42,5947786,Sant'Andrea di Conza,Q55099
43,5801528,Fasano,Q51865
44,2736150,Maschito,Q52606
45,5801507,Cisternino,Q51863
46,5947686,Morra De Sanctis,Q55070
47,1139925,Palazzo San Gervasio,Q52628
48,20570670,Lydia Caruana,Q6707597
49,90542,Candida,Q297385
0,1566418,Casale,Q424694
1,5947753,San Michele di Serino,Q55093
2,1546609,Mola di Bari,Q51834
3,6770455,Puglianello,Q55952
4,6768644,Alvignano,Q58435
5,6211496,Toritto,Q51853
6,6211421,Poggiorsini,Q51840
7,5767754,Gravina in Puglia,Q51829
8,6770566,San Salvatore Telesino,Q55974
9,5947653,Mirabella Eclano,Q55054
10,4892022,Giovinazzo,Q51828
11,6770314,Limatola,Q55916
12,6769319,San Gregorio Matese,Q58844
13,2618436,Contrada,Q10578205
14,6769990,Amorosi,Q55847
15,2325027,Corato,Q51826
16,6769410,Sant'Angelo d'Alife,Q58890
17,6769169,Pignataro Maggiore,Q58766
18,6768985,Gioia Sannitica,Q58629
19,6769162,Pietravairano,Q58763
20,5741463,Sturno,Q55121
21,4544305,Locorotondo,Q51822
22,6768636,Ailano,Q58429
23,3714563,Monopoli,Q51835
24,6769925,Falciano del Massico,Q58585
25,3744408,Cervino,Q5065372
26,378928,Conversano,Q51825
27,9544652,Annunziata,Q3618196
28,6211433,Polignano a Mare,Q51842
29,6769940,Cellole,Q58567
30,6768731,Capriati a Volturno,Q58472
31,6769052,Mignano Monte Lungo,Q58714
32,6769133,Piedimonte Matese,Q58749
33,3179205,Terlizzi,Q51852
34,5947844,Taurasi,Q55126
35,6769152,Pietramelara,Q58752
