,bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country
7103,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,e9a34d5b26ad0d5cd12b98833d1740ff,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539093.0,uuuu,,,1452298062.0,0.0,0.0,0.0,Kolomna Airport,85688161.0,102/539/093/102539093.geojson,campus,85688161.0,missing,,,
7104,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,ab25a4d2a255ae50fd5da733165b083a,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539095.0,uuuu,,,1452298063.0,0.0,0.0,0.0,Korkino Airport,85687791.0,102/539/095/102539095.geojson,campus,85687791.0,missing,,,
7105,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,bb7a194b55730080d250177863582b3d,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539099.0,uuuu,,,1452298064.0,0.0,0.0,0.0,Kumbator Airport,85688197.0,102/539/099/102539099.geojson,campus,85688197.0,missing,,,
7106,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,6d35a99dd302e456e2de6b71c8c72e26,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539101.0,uuuu,,,1452298063.0,0.0,0.0,0.0,Kostromskoye Airport,85688125.0,102/539/101/102539101.geojson,campus,85688125.0,missing,,,
7107,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,48cbf384e916f10149e99222ba2399d2,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539103.0,uuuu,,,1452298063.0,0.0,0.0,0.0,Kubanskiy South Airport,85688029.0,102/539/103/102539103.geojson,campus,85688029.0,missing,,,
7108,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,126ca3af94742ef6202fd07491873c8c,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539105.0,uuuu,,,1452298063.0,0.0,0.0,0.0,Korliki Airport,85687919.0,102/539/105/102539105.geojson,campus,85687919.0,missing,,,
7109,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,629f4c29cb2a3099c38de6de3554a0cc,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539107.0,uuuu,,,1452298062.0,0.0,0.0,0.0,Krasnouralsk Airport,85688183.0,102/539/107/102539107.geojson,campus,85688183.0,missing,,,
7110,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,48992a9e56b7fa2626ebbcfd6d268faa,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539109.0,uuuu,,,1452298063.0,0.0,0.0,0.0,Kortheros Airport,85688077.0,102/539/109/102539109.geojson,campus,85688077.0,missing,,,
7111,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,431b8725e18128c46f87d9417e2907d4,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539111.0,uuuu,,,1452298065.0,0.0,0.0,0.0,Komsomolets North Airport,85687825.0,102/539/111/102539111.geojson,campus,85687825.0,missing,,,
7112,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,8d8a78b7c365de7b437254d02b375980,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539113.0,uuuu,,,1452298064.0,0.0,0.0,0.0,Konergino Airport,85687795.0,102/539/113/102539113.geojson,campus,85687795.0,missing,,,
7113,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,12076dce7eb4d15d5ba706ce48883560,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539117.0,uuuu,,,1452298064.0,0.0,0.0,0.0,Kotly Airport,85687861.0,102/539/117/102539117.geojson,campus,85687861.0,missing,,,
7114,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,502437fb99e3d5e1cc71900912f2973b,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539119.0,uuuu,,,1452298064.0,0.0,0.0,0.0,Krasnyy Yar Airport,85688101.0,102/539/119/102539119.geojson,campus,85688101.0,missing,,,
7115,"0.0,0.0,0.0,0.0",uuuu,0.0,,59c5da9730617f27560bdefc1a5926bc,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539121.0,uuuu,,,1452298064.0,0.0,0.0,0.0,Kotlas South Airport,85687971.0,102/539/121/102539121.geojson,campus,0.0,missing,,,
7116,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,6ee005cd99cdebcc63197b3f4f7ce323,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539123.0,uuuu,,,1452298062.0,0.0,0.0,0.0,Koygorodok Airport,85688077.0,102/539/123/102539123.geojson,campus,85688077.0,missing,,,
7117,"0.0,0.0,0.0,0.0",uuuu,0.0,,6f974bd8feee1e023693612bf908ab47,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539125.0,uuuu,,,1452298065.0,0.0,0.0,0.0,Koryazhma Airport,85687971.0,102/539/125/102539125.geojson,campus,0.0,missing,,,
7118,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,81f6ceb5cc5dc5994f6667f5e8ee92e4,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539127.0,uuuu,,,1452298064.0,0.0,0.0,0.0,Kryuchkovo Airport,85688047.0,102/539/127/102539127.geojson,campus,85688047.0,missing,,,
7119,"0.0,0.0,0.0,0.0",uuuu,85632685.0,,1f5a076acf54e4390e3a09cec5166817,,e898cfa3959981262f8d75c8fecdb4cb,0.0,0.0,102539129.0,uuuu,,,1452298064.0,0.0,0.0,0.0,Krasnousolskiy Airport,85687801.0,102/539/129/102539129.geojson,campus,85687801.0,missing,,,
